alert,felt,mag,magType,place,time,title,tsunami,type,parsed_place
,,1.4,ml,"43km SSW of Cantwell, Alaska",,"M 1.4 - 43km SSW of Cantwell, Alaska",0,earthquake, Alaska
,,0.75,md,"5km W of Cobb, CA",,"M 0.8 - 5km W of Cobb, CA",0,earthquake, CA
,,1.95,ml,"26km ESE of Honaunau-Napoopoo, Hawaii",,"M 2.0 - 26km ESE of Honaunau-Napoopoo, Hawaii",0,earthquake, Hawaii
,,-0.2,ml,"63km N of Pahrump, Nevada",,"M -0.2 - 63km N of Pahrump, Nevada",0,earthquake, Nevada
,,1.9,ml,"113km NNW of Arctic Village, Alaska",,"M 1.9 - 113km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,-0.16,md,"13km ESE of Viola, CA",,"M -0.2 - 13km ESE of Viola, CA",0,earthquake, CA
,,-0.1,ml,"64km N of Pahrump, Nevada",,"M -0.1 - 64km N of Pahrump, Nevada",0,earthquake, Nevada
,,0.51,ml,"2km NNE of Lake Henshaw, CA",,"M 0.5 - 2km NNE of Lake Henshaw, CA",0,earthquake, CA
,,-0.2,ml,"53km E of Beatty, Nevada",,"M -0.2 - 53km E of Beatty, Nevada",0,earthquake, Nevada
,,0.52,md,"7km SE of Mammoth Lakes, CA",,"M 0.5 - 7km SE of Mammoth Lakes, CA",0,earthquake, CA
,,1.7,ml,"56km WNW of Valdez, Alaska",,"M 1.7 - 56km WNW of Valdez, Alaska",0,earthquake, Alaska
,,0.34,ml,"9km NE of Aguanga, CA",,"M 0.3 - 9km NE of Aguanga, CA",0,earthquake, CA
,,1.09,ml,"1km W of Manhattan, Montana",,"M 1.1 - 1km W of Manhattan, Montana",0,earthquake, Montana
,,-0.1,ml,"58km E of Beatty, Nevada",,"M -0.1 - 58km E of Beatty, Nevada",0,earthquake, Nevada
,,0.64,ml,"22km E of Eatonville, Washington",,"M 0.6 - 22km E of Eatonville, Washington",0,earthquake, Washington
,,0.76,ml,"51km W of Tanaga Volcano, Alaska",,"M 0.8 - 51km W of Tanaga Volcano, Alaska",0,earthquake, Alaska
,,0.48,ml,"10km NE of Aguanga, CA",,"M 0.5 - 10km NE of Aguanga, CA",0,earthquake, CA
,,2.06,ml,"8km W of Newport Beach, CA",,"M 2.1 - 8km W of Newport Beach, CA",0,earthquake, CA
,,2.08,ml,"11km SSE of Volcano, Hawaii",,"M 2.1 - 11km SSE of Volcano, Hawaii",0,earthquake, Hawaii
,,0.9,ml,"3km WSW of Greenville, California",,"M 0.9 - 3km WSW of Greenville, California",0,earthquake, California
,,0.15,ml,"31km WNW of Adak, Alaska",,"M 0.2 - 31km WNW of Adak, Alaska",0,earthquake, Alaska
,,1.24,ml,"9km N of Cabazon, CA",,"M 1.2 - 9km N of Cabazon, CA",0,earthquake, CA
,1.0,2.3,mb_lg,"5km S of Newcastle, Oklahoma",,"M 2.3 - 5km S of Newcastle, Oklahoma",0,earthquake, Oklahoma
,,-0.23,ml,"104km NNW of Larsen Bay, Alaska",,"M -0.2 - 104km NNW of Larsen Bay, Alaska",0,earthquake, Alaska
,,1.44,md,"3km NNW of The Geysers, CA",,"M 1.4 - 3km NNW of The Geysers, CA",0,earthquake, CA
,,1.15,ml,"23km N of Ridgecrest, CA",,"M 1.2 - 23km N of Ridgecrest, CA",0,earthquake, CA
,,1.4,ml,"5km WSW of Darrington, Washington",,"M 1.4 - 5km WSW of Darrington, Washington",0,earthquake, Washington
,,2.0,ml,"121km NW of Arctic Village, Alaska",,"M 2.0 - 121km NW of Arctic Village, Alaska",0,earthquake, Alaska
,,4.8,mb,"66km SSE of Nikolski, Alaska",,"M 4.8 - 66km SSE of Nikolski, Alaska",0,earthquake, Alaska
,,4.4,mb,"225km SW of Ndoi Island, Fiji",,"M 4.4 - 225km SW of Ndoi Island, Fiji",0,earthquake, Fiji
,,4.7,mb,"139km WSW of Naze, Japan",,"M 4.7 - 139km WSW of Naze, Japan",0,earthquake, Japan
,,0.26,md,"6km ESE of Mammoth Lakes, CA",,"M 0.3 - 6km ESE of Mammoth Lakes, CA",0,earthquake, CA
,,2.57,md,"163km N of Charlotte Amalie, U.S. Virgin Islands",,"M 2.6 - 163km N of Charlotte Amalie, U.S. Virgin Islands",0,earthquake, U.S. Virgin Islands
,,0.15,md,"1km ENE of Mammoth Lakes, CA",,"M 0.2 - 1km ENE of Mammoth Lakes, CA",0,earthquake, CA
,,0.1,ml,"31km WNW of Adak, Alaska",,"M 0.1 - 31km WNW of Adak, Alaska",0,earthquake, Alaska
,,1.62,md,"13km SW of Leilani Estates, Hawaii",,"M 1.6 - 13km SW of Leilani Estates, Hawaii",0,earthquake, Hawaii
,,5.2,mb,"163km S of Severo-Kuril'sk, Russia",,"M 5.2 - 163km S of Severo-Kuril'sk, Russia",0,earthquake, Russia
,,1.44,ml,"23km N of Ridgecrest, CA",,"M 1.4 - 23km N of Ridgecrest, CA",0,earthquake, CA
,4.0,2.28,ml,"6km SSE of Sudden Valley, Washington",,"M 2.3 - 6km SSE of Sudden Valley, Washington",0,earthquake, Washington
,,-0.67,ml,"42km ENE of Adak, Alaska",,"M -0.7 - 42km ENE of Adak, Alaska",0,earthquake, Alaska
,,0.61,md,"5km SE of Mammoth Lakes, CA",,"M 0.6 - 5km SE of Mammoth Lakes, CA",0,earthquake, CA
,,0.7,ml,"83km NNW of Nikiski, Alaska",,"M 0.7 - 83km NNW of Nikiski, Alaska",0,earthquake, Alaska
,,0.4,ml,"22km N of Summerlin South, Nevada",,"M 0.4 - 22km N of Summerlin South, Nevada",0,earthquake, Nevada
,,1.8,ml,"107km NW of Talkeetna, Alaska",,"M 1.8 - 107km NW of Talkeetna, Alaska",0,earthquake, Alaska
,,0.49,ml,"9km NE of Aguanga, CA",,"M 0.5 - 9km NE of Aguanga, CA",0,earthquake, CA
,,2.8,ml,"108km NW of Talkeetna, Alaska",,"M 2.8 - 108km NW of Talkeetna, Alaska",0,earthquake, Alaska
,,0.47,md,"28km N of Beaver, Utah",,"M 0.5 - 28km N of Beaver, Utah",0,earthquake, Utah
,,1.86,ml,"30km N of Beaver, Utah",,"M 1.9 - 30km N of Beaver, Utah",0,earthquake, Utah
,8.0,2.83,ml,"17km W of Imperial, CA",,"M 2.8 - 17km W of Imperial, CA",0,earthquake, CA
,,0.19,md,"0km WNW of Mammoth Lakes, CA",,"M 0.2 - 0km WNW of Mammoth Lakes, CA",0,earthquake, CA
,,0.73,ml,"10km S of Idyllwild, CA",,"M 0.7 - 10km S of Idyllwild, CA",0,earthquake, CA
,,1.72,ml,"1km SW of Enoch, Utah",,"M 1.7 - 1km SW of Enoch, Utah",0,earthquake, Utah
,,0.1,ml,"42km SW of Beatty, Nevada",,"M 0.1 - 42km SW of Beatty, Nevada",0,earthquake, Nevada
,,0.02,md,"4km SE of Mammoth Lakes, CA",,"M 0.0 - 4km SE of Mammoth Lakes, CA",0,earthquake, CA
,,0.48,ml,"10km NE of Aguanga, CA",,"M 0.5 - 10km NE of Aguanga, CA",0,earthquake, CA
,,-0.57,ml,"47km ENE of Adak, Alaska",,"M -0.6 - 47km ENE of Adak, Alaska",0,earthquake, Alaska
,,1.51,ml,"34km NW of Stovepipe Wells, CA",,"M 1.5 - 34km NW of Stovepipe Wells, CA",0,earthquake, CA
,,1.6,ml,"89km WNW of Arctic Village, Alaska",,"M 1.6 - 89km WNW of Arctic Village, Alaska",0,earthquake, Alaska
,,1.8,ml,"106km NW of Talkeetna, Alaska",,"M 1.8 - 106km NW of Talkeetna, Alaska",0,earthquake, Alaska
,,-0.26,ml,"11km W of Akutan, Alaska",,"M -0.3 - 11km W of Akutan, Alaska",0,earthquake, Alaska
,,0.88,ml,"10km SSE of Desert Aire, Washington",,"M 0.9 - 10km SSE of Desert Aire, Washington",0,earthquake, Washington
,,1.5,ml,"107km NW of Talkeetna, Alaska",,"M 1.5 - 107km NW of Talkeetna, Alaska",0,earthquake, Alaska
,,1.83,ml,"2km WSW of Enoch, Utah",,"M 1.8 - 2km WSW of Enoch, Utah",0,earthquake, Utah
,,-0.24,ml,"24km NW of West Yellowstone, Montana",,"M -0.2 - 24km NW of West Yellowstone, Montana",0,earthquake, Montana
,,2.5,ml,"81km NNW of Arctic Village, Alaska",,"M 2.5 - 81km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,1.7,ml,"57km NW of Healy, Alaska",,"M 1.7 - 57km NW of Healy, Alaska",0,earthquake, Alaska
,,0.25,ml,"10km NE of Aguanga, CA",,"M 0.3 - 10km NE of Aguanga, CA",0,earthquake, CA
,,-0.25,ml,"11km NE of Aguanga, CA",,"M -0.3 - 11km NE of Aguanga, CA",0,earthquake, CA
,,4.8,mb,"149km S of Severo-Kuril'sk, Russia",,"M 4.8 - 149km S of Severo-Kuril'sk, Russia",0,earthquake, Russia
,,0.93,ml,"22km E of Eatonville, Washington",,"M 0.9 - 22km E of Eatonville, Washington",0,earthquake, Washington
,,1.8,ml,"121km NNW of Arctic Village, Alaska",,"M 1.8 - 121km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,2.6,ml,"88km WNW of Arctic Village, Alaska",,"M 2.6 - 88km WNW of Arctic Village, Alaska",0,earthquake, Alaska
,,4.7,mb,"150km E of Kimbe, Papua New Guinea",,"M 4.7 - 150km E of Kimbe, Papua New Guinea",0,earthquake, Papua New Guinea
,,1.25,md,"3km ENE of Ridgely, Tennessee",,"M 1.3 - 3km ENE of Ridgely, Tennessee",0,earthquake, Tennessee
green,,5.6,mww,"139km S of Leksula, Indonesia",,"M 5.6 - 139km S of Leksula, Indonesia",0,earthquake, Indonesia
,,0.82,ml,"10km N of Ridgecrest, CA",,"M 0.8 - 10km N of Ridgecrest, CA",0,earthquake, CA
,,2.3,ml,"109km NW of Arctic Village, Alaska",,"M 2.3 - 109km NW of Arctic Village, Alaska",0,earthquake, Alaska
,,1.4,ml,"19km WSW of North Nenana, Alaska",,"M 1.4 - 19km WSW of North Nenana, Alaska",0,earthquake, Alaska
,,1.9,ml,"120km SE of Prudhoe Bay, Alaska",,"M 1.9 - 120km SE of Prudhoe Bay, Alaska",0,earthquake, Alaska
,,1.59,md,"3km ENE of Ridgely, Tennessee",,"M 1.6 - 3km ENE of Ridgely, Tennessee",0,earthquake, Tennessee
,,0.57,md,"5km SE of Mammoth Lakes, CA",,"M 0.6 - 5km SE of Mammoth Lakes, CA",0,earthquake, CA
,,5.1,mb,"148km S of Severo-Kuril'sk, Russia",,"M 5.1 - 148km S of Severo-Kuril'sk, Russia",0,earthquake, Russia
,,2.0,ml,"110km NNW of Arctic Village, Alaska",,"M 2.0 - 110km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,2.4,ml,"84km NW of Talkeetna, Alaska",,"M 2.4 - 84km NW of Talkeetna, Alaska",0,earthquake, Alaska
,,1.08,md,"16km NW of Chester, CA",,"M 1.1 - 16km NW of Chester, CA",0,earthquake, CA
,,1.4,ml,"38km NW of Carlin, Nevada",,"M 1.4 Explosion - 38km NW of Carlin, Nevada",0,explosion, Nevada
,,2.76,md,"22km ENE of Punta Cana, Dominican Republic",,"M 2.8 - 22km ENE of Punta Cana, Dominican Republic",0,earthquake, Dominican Republic
,,1.76,md,"3km WSW of Pahala, Hawaii",,"M 1.8 - 3km WSW of Pahala, Hawaii",0,earthquake, Hawaii
,,2.7,ml,"75km SSW of Kaktovik, Alaska",,"M 2.7 - 75km SSW of Kaktovik, Alaska",0,earthquake, Alaska
,,4.9,mb,"136km S of Severo-Kuril'sk, Russia",,"M 4.9 - 136km S of Severo-Kuril'sk, Russia",0,earthquake, Russia
,,1.4,ml,"32km SSW of Fairbanks, Alaska",,"M 1.4 - 32km SSW of Fairbanks, Alaska",0,earthquake, Alaska
,,1.2,md,"6km SW of Gilroy, CA",,"M 1.2 - 6km SW of Gilroy, CA",0,earthquake, CA
,,1.88,ml,"13km S of Fern Acres, Hawaii",,"M 1.9 - 13km S of Fern Acres, Hawaii",0,earthquake, Hawaii
,,0.05,ml,"38km NNE of Amboy, Washington",,"M 0.1 - 38km NNE of Amboy, Washington",0,earthquake, Washington
,,1.92,md,"13km SSW of Guanica, Puerto Rico",,"M 1.9 - 13km SSW of Guanica, Puerto Rico",0,earthquake, Puerto Rico
,,1.07,md,"6km NW of The Geysers, CA",,"M 1.1 - 6km NW of The Geysers, CA",0,earthquake, CA
,,0.4,ml,"22km N of Amboy, Washington",,"M 0.4 - 22km N of Amboy, Washington",0,earthquake, Washington
,,1.33,md,"25km E of Honaunau-Napoopoo, Hawaii",,"M 1.3 - 25km E of Honaunau-Napoopoo, Hawaii",0,earthquake, Hawaii
,,2.2,ml,"72km WNW of Willow, Alaska",,"M 2.2 - 72km WNW of Willow, Alaska",0,earthquake, Alaska
,,3.18,ml,"107km W of Petrolia, CA",,"M 3.2 - 107km W of Petrolia, CA",0,earthquake, CA
,,1.8,md,"3km SSE of Pahala, Hawaii",,"M 1.8 - 3km SSE of Pahala, Hawaii",0,earthquake, Hawaii
,,0.26,md,"12km E of Mammoth Lakes, CA",,"M 0.3 - 12km E of Mammoth Lakes, CA",0,earthquake, CA
,,1.7,md,"7km WSW of Volcano, Hawaii",,"M 1.7 - 7km WSW of Volcano, Hawaii",0,earthquake, Hawaii
,,2.52,md,"19km WSW of Petrolia, CA",,"M 2.5 - 19km WSW of Petrolia, CA",0,earthquake, CA
,,5.2,mb,"155km S of Severo-Kuril'sk, Russia",,"M 5.2 - 155km S of Severo-Kuril'sk, Russia",0,earthquake, Russia
,,4.7,mb,"141km S of Severo-Kuril'sk, Russia",,"M 4.7 - 141km S of Severo-Kuril'sk, Russia",0,earthquake, Russia
,,0.84,ml,"10km S of Idyllwild, CA",,"M 0.8 - 10km S of Idyllwild, CA",0,earthquake, CA
,,0.51,ml,"10km NNW of Anza, CA",,"M 0.5 - 10km NNW of Anza, CA",0,earthquake, CA
,,0.56,ml,"10km NNW of Anza, CA",,"M 0.6 - 10km NNW of Anza, CA",0,earthquake, CA
,,2.1,ml,"48km NNE of Yakutat, Alaska",,"M 2.1 - 48km NNE of Yakutat, Alaska",0,earthquake, Alaska
,,2.6,mb_lg,"7km NE of Medford, Oklahoma",,"M 2.6 - 7km NE of Medford, Oklahoma",0,earthquake, Oklahoma
,,1.37,ml,"9km NNE of Cabazon, CA",,"M 1.4 - 9km NNE of Cabazon, CA",0,earthquake, CA
,,2.0,ml,"9km SSW of Princeton, Canada",,"M 2.0 Explosion - 9km SSW of Princeton, Canada",0,explosion, Canada
,,0.02,ml,"11km N of Atka, Alaska",,"M 0.0 - 11km N of Atka, Alaska",0,earthquake, Alaska
,,1.83,ml,"11km SSE of Volcano, Hawaii",,"M 1.8 - 11km SSE of Volcano, Hawaii",0,earthquake, Hawaii
,,5.1,mb,South of the Fiji Islands,,M 5.1 - South of the Fiji Islands,0,earthquake,
green,,6.5,mww,"148km S of Severo-Kuril'sk, Russia",,"M 6.5 - 148km S of Severo-Kuril'sk, Russia",1,earthquake, Russia
,,1.03,ml,"77km NNE of Chignik Lake, Alaska",,"M 1.0 - 77km NNE of Chignik Lake, Alaska",0,earthquake, Alaska
,,0.75,ml,"6km ESE of Yacolt, Washington",,"M 0.8 Explosion - 6km ESE of Yacolt, Washington",0,explosion, Washington
,,1.9,ml,"74km NW of Nikiski, Alaska",,"M 1.9 - 74km NW of Nikiski, Alaska",0,earthquake, Alaska
,,0.59,md,"13km N of Richland, Washington",,"M 0.6 - 13km N of Richland, Washington",0,earthquake, Washington
,,0.89,ml,"9km S of Idyllwild, CA",,"M 0.9 - 9km S of Idyllwild, CA",0,earthquake, CA
,,2.5,ml,"55km N of Petersburg, Alaska",,"M 2.5 - 55km N of Petersburg, Alaska",0,earthquake, Alaska
,,2.76,md,"51km SSE of Boca de Yuma, Dominican Republic",,"M 2.8 - 51km SSE of Boca de Yuma, Dominican Republic",0,earthquake, Dominican Republic
,,0.55,ml,"9km NE of Aguanga, CA",,"M 0.6 - 9km NE of Aguanga, CA",0,earthquake, CA
,,1.88,ml,"17km W of Volcano, Hawaii",,"M 1.9 - 17km W of Volcano, Hawaii",0,earthquake, Hawaii
,,1.7,ml,"81km WSW of Cantwell, Alaska",,"M 1.7 - 81km WSW of Cantwell, Alaska",0,earthquake, Alaska
,,0.24,md,"8km WNW of The Geysers, CA",,"M 0.2 - 8km WNW of The Geysers, CA",0,earthquake, CA
,,1.16,ml,"46km WSW of Tanaga Volcano, Alaska",,"M 1.2 - 46km WSW of Tanaga Volcano, Alaska",0,earthquake, Alaska
,,1.43,md,"17km ESE of Livermore, CA",,"M 1.4 - 17km ESE of Livermore, CA",0,earthquake, CA
,,0.92,ml,"18km ESE of Anza, CA",,"M 0.9 - 18km ESE of Anza, CA",0,earthquake, CA
,,0.54,ml,"18km ESE of Anza, CA",,"M 0.5 - 18km ESE of Anza, CA",0,earthquake, CA
,,1.73,md,"15km NE of Nice, CA",,"M 1.7 - 15km NE of Nice, CA",0,earthquake, CA
green,,6.2,mww,"94km SW of Kokopo, Papua New Guinea",,"M 6.2 - 94km SW of Kokopo, Papua New Guinea",1,earthquake, Papua New Guinea
,,0.36,md,"3km WNW of Mammoth Lakes, CA",,"M 0.4 - 3km WNW of Mammoth Lakes, CA",0,earthquake, CA
,,0.54,md,"6km WNW of The Geysers, CA",,"M 0.5 - 6km WNW of The Geysers, CA",0,earthquake, CA
,,1.01,md,"10km E of Alum Rock, CA",,"M 1.0 - 10km E of Alum Rock, CA",0,earthquake, CA
,,1.1,ml,"12km SW of Truckee, California",,"M 1.1 - 12km SW of Truckee, California",0,earthquake, California
,,0.89,md,"23km ENE of San Ardo, CA",,"M 0.9 - 23km ENE of San Ardo, CA",0,earthquake, CA
,,0.6,md,"6km WNW of The Geysers, CA",,"M 0.6 - 6km WNW of The Geysers, CA",0,earthquake, CA
,,3.24,md,"59km SE of Boca de Yuma, Dominican Republic",,"M 3.2 - 59km SE of Boca de Yuma, Dominican Republic",0,earthquake, Dominican Republic
,,1.19,md,"15km SSW of Gonzales, CA",,"M 1.2 - 15km SSW of Gonzales, CA",0,earthquake, CA
,,0.32,ml,"31km WNW of Adak, Alaska",,"M 0.3 - 31km WNW of Adak, Alaska",0,earthquake, Alaska
green,,5.9,mww,"117km ESE of Kimbe, Papua New Guinea",,"M 5.9 - 117km ESE of Kimbe, Papua New Guinea",1,earthquake, Papua New Guinea
,,0.17,md,"3km WSW of Anderson Springs, CA",,"M 0.2 - 3km WSW of Anderson Springs, CA",0,earthquake, CA
,,1.2,ml,"70km ENE of Cape Yakataga, Alaska",,"M 1.2 - 70km ENE of Cape Yakataga, Alaska",0,earthquake, Alaska
green,,5.9,mww,"113km ESE of Kimbe, Papua New Guinea",,"M 5.9 - 113km ESE of Kimbe, Papua New Guinea",1,earthquake, Papua New Guinea
,,0.5,md,"6km W of Cobb, CA",,"M 0.5 - 6km W of Cobb, CA",0,earthquake, CA
,,2.88,md,"47km W of Ferndale, CA",,"M 2.9 - 47km W of Ferndale, CA",0,earthquake, CA
,,1.7,ml,"20km S of Old Faithful Geyser, Wyoming",,"M 1.7 - 20km S of Old Faithful Geyser, Wyoming",0,earthquake, Wyoming
,,0.9,ml,"30km SSW of Smith Valley, Nevada",,"M 0.9 - 30km SSW of Smith Valley, Nevada",0,earthquake, Nevada
,,0.6,ml,"73km NW of Nikiski, Alaska",,"M 0.6 - 73km NW of Nikiski, Alaska",0,earthquake, Alaska
,,1.42,ml,"5km SE of Chula Vista, CA",,"M 1.4 Quarry Blast - 5km SE of Chula Vista, CA",0,quarry blast, CA
,,3.0,ml,"74km NW of Nikiski, Alaska",,"M 3.0 - 74km NW of Nikiski, Alaska",0,earthquake, Alaska
green,3.0,7.0,mww,"117km E of Kimbe, Papua New Guinea",,"M 7.0 - 117km E of Kimbe, Papua New Guinea",1,earthquake, Papua New Guinea
green,,6.1,mb,"132km E of Kimbe, Papua New Guinea",,"M 6.1 - 132km E of Kimbe, Papua New Guinea",1,earthquake, Papua New Guinea
,,1.9,ml,"59km SW of Kaktovik, Alaska",,"M 1.9 - 59km SW of Kaktovik, Alaska",0,earthquake, Alaska
,1.0,0.0,ml,"47km E of Beatty, Nevada",,"M 0.0 - 47km E of Beatty, Nevada",0,earthquake, Nevada
,,0.81,ml,"4km SW of Idyllwild, CA",,"M 0.8 - 4km SW of Idyllwild, CA",0,earthquake, CA
,,-0.02,ml,"41km ENE of Adak, Alaska",,"M -0.0 - 41km ENE of Adak, Alaska",0,earthquake, Alaska
,,-0.59,ml,"42km ENE of Adak, Alaska",,"M -0.6 - 42km ENE of Adak, Alaska",0,earthquake, Alaska
,,-0.77,ml,"41km ENE of Adak, Alaska",,"M -0.8 - 41km ENE of Adak, Alaska",0,earthquake, Alaska
,,0.37,md,"6km NW of The Geysers, CA",,"M 0.4 - 6km NW of The Geysers, CA",0,earthquake, CA
,,4.3,mb,"129km S of Leksula, Indonesia",,"M 4.3 - 129km S of Leksula, Indonesia",0,earthquake, Indonesia
,,0.38,ml,"32km WNW of Adak, Alaska",,"M 0.4 - 32km WNW of Adak, Alaska",0,earthquake, Alaska
,,0.46,ml,"3km ENE of Anza, CA",,"M 0.5 - 3km ENE of Anza, CA",0,earthquake, CA
,,0.89,md,"6km W of Cobb, CA",,"M 0.9 - 6km W of Cobb, CA",0,earthquake, CA
,,1.6,ml,"5km WSW of Borrego Springs, CA",,"M 1.6 - 5km WSW of Borrego Springs, CA",0,earthquake, CA
,,1.7,md,"6km NW of The Geysers, CA",,"M 1.7 - 6km NW of The Geysers, CA",0,earthquake, CA
,,2.8,ml,"100km NNW of Arctic Village, Alaska",,"M 2.8 - 100km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,2.0,ml,"41km W of Kenai, Alaska",,"M 2.0 - 41km W of Kenai, Alaska",0,earthquake, Alaska
,,0.88,md,"9km NE of Pinnacles, CA",,"M 0.9 - 9km NE of Pinnacles, CA",0,earthquake, CA
,,1.9,ml,"86km SW of Kaktovik, Alaska",,"M 1.9 - 86km SW of Kaktovik, Alaska",0,earthquake, Alaska
,,0.64,ml,"93km SE of King Salmon, Alaska",,"M 0.6 - 93km SE of King Salmon, Alaska",0,earthquake, Alaska
,,3.44,md,"82km N of Road Town, British Virgin Islands",,"M 3.4 - 82km N of Road Town, British Virgin Islands",0,earthquake, British Virgin Islands
,,1.32,md,"6km SE of Deep Springs, CA",,"M 1.3 - 6km SE of Deep Springs, CA",0,earthquake, CA
,,1.23,ml,"7km S of Mojave, CA",,"M 1.2 Quarry Blast - 7km S of Mojave, CA",0,quarry blast, CA
,,2.5,ml,"168km SSE of Yakutat, Alaska",,"M 2.5 - 168km SSE of Yakutat, Alaska",0,earthquake, Alaska
,,0.54,ml,"9km NE of Aguanga, CA",,"M 0.5 - 9km NE of Aguanga, CA",0,earthquake, CA
green,170.0,6.0,mww,"39km NNE of Sumberanyar, Indonesia",,"M 6.0 - 39km NNE of Sumberanyar, Indonesia",0,earthquake, Indonesia
,,1.7,ml,"120km NNW of Arctic Village, Alaska",,"M 1.7 - 120km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,0.7,ml,"9km ENE of Aguanga, CA",,"M 0.7 - 9km ENE of Aguanga, CA",0,earthquake, CA
,,0.44,ml,"10km NE of Aguanga, CA",,"M 0.4 - 10km NE of Aguanga, CA",0,earthquake, CA
,,4.1,mb,"75km WNW of San Antonio de los Cobres, Argentina",,"M 4.1 - 75km WNW of San Antonio de los Cobres, Argentina",0,earthquake, Argentina
,,1.7,ml,"73km SSW of Kobuk, Alaska",,"M 1.7 - 73km SSW of Kobuk, Alaska",0,earthquake, Alaska
,,0.81,ml,"16km SSW of Oasis, CA",,"M 0.8 - 16km SSW of Oasis, CA",0,earthquake, CA
,,0.94,ml,"8km SW of Idyllwild, CA",,"M 0.9 - 8km SW of Idyllwild, CA",0,earthquake, CA
,,4.6,mb,"56km SW of Canete, Chile",,"M 4.6 - 56km SW of Canete, Chile",0,earthquake, Chile
,10.0,2.4,ml,"7km W of Newport Beach, CA",,"M 2.4 - 7km W of Newport Beach, CA",0,earthquake, CA
,,1.8,ml,"110km NNW of Arctic Village, Alaska",,"M 1.8 - 110km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,4.1,mb,"88km S of Putre, Chile",,"M 4.1 - 88km S of Putre, Chile",0,earthquake, Chile
,,1.32,md,"27km E of Honaunau-Napoopoo, Hawaii",,"M 1.3 - 27km E of Honaunau-Napoopoo, Hawaii",0,earthquake, Hawaii
,,0.79,ml,"9km NE of Aguanga, CA",,"M 0.8 - 9km NE of Aguanga, CA",0,earthquake, CA
,,1.5,ml,"57km NW of Healy, Alaska",,"M 1.5 - 57km NW of Healy, Alaska",0,earthquake, Alaska
,,4.9,mb,"15km ENE of Kali, Indonesia",,"M 4.9 - 15km ENE of Kali, Indonesia",0,earthquake, Indonesia
,,1.58,ml,"2km SSE of Enoch, Utah",,"M 1.6 - 2km SSE of Enoch, Utah",0,earthquake, Utah
,,0.64,md,"20km NW of Parkfield, CA",,"M 0.6 - 20km NW of Parkfield, CA",0,earthquake, CA
,,0.73,ml,"18km NNW of Borrego Springs, CA",,"M 0.7 - 18km NNW of Borrego Springs, CA",0,earthquake, CA
,,2.1,ml,"127km NW of Arctic Village, Alaska",,"M 2.1 - 127km NW of Arctic Village, Alaska",0,earthquake, Alaska
,,1.23,md,"3km SSW of Anderson Springs, CA",,"M 1.2 - 3km SSW of Anderson Springs, CA",0,earthquake, CA
,,2.18,md,"3km SSW of Anderson Springs, CA",,"M 2.2 - 3km SSW of Anderson Springs, CA",0,earthquake, CA
,1.0,2.63,md,"3km SSW of Anderson Springs, CA",,"M 2.6 - 3km SSW of Anderson Springs, CA",0,earthquake, CA
,,1.45,md,"68km ENE of Old Faithful Geyser, Wyoming",,"M 1.5 - 68km ENE of Old Faithful Geyser, Wyoming",0,earthquake, Wyoming
,,1.0,ml,"39km SW of Gerlach-Empire, Nevada",,"M 1.0 - 39km SW of Gerlach-Empire, Nevada",0,earthquake, Nevada
,,0.2,ml,"31km NNW of Beatty, Nevada",,"M 0.2 - 31km NNW of Beatty, Nevada",0,earthquake, Nevada
,,1.19,ml,"10km NNW of Big Bear Lake, CA",,"M 1.2 Quarry Blast - 10km NNW of Big Bear Lake, CA",0,quarry blast, CA
,,5.1,mb,"72km SE of Kirakira, Solomon Islands",,"M 5.1 - 72km SE of Kirakira, Solomon Islands",0,earthquake, Solomon Islands
,,1.5,ml,"107km ENE of Circle, Alaska",,"M 1.5 - 107km ENE of Circle, Alaska",0,earthquake, Alaska
,,1.99,ml,"22km ENE of Honaunau-Napoopoo, Hawaii",,"M 2.0 - 22km ENE of Honaunau-Napoopoo, Hawaii",0,earthquake, Hawaii
,,1.91,md,"10km ENE of Milpitas, CA",,"M 1.9 - 10km ENE of Milpitas, CA",0,earthquake, CA
,,0.98,md,"4km WSW of Volcano, Hawaii",,"M 1.0 - 4km WSW of Volcano, Hawaii",0,earthquake, Hawaii
,,1.49,ml,"4km SE of Home Gardens, CA",,"M 1.5 Quarry Blast - 4km SE of Home Gardens, CA",0,quarry blast, CA
,,-0.62,md,"17km NNW of Polson, Montana",,"M -0.6 - 17km NNW of Polson, Montana",0,earthquake, Montana
,,0.54,md,"6km WNW of Cobb, CA",,"M 0.5 - 6km WNW of Cobb, CA",0,earthquake, CA
,,1.19,ml,"15km WNW of Belfair, Washington",,"M 1.2 - 15km WNW of Belfair, Washington",0,earthquake, Washington
,,2.2,ml,"119km NNW of Arctic Village, Alaska",,"M 2.2 - 119km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,1.35,ml,"3km WNW of Manhattan, Montana",,"M 1.4 - 3km WNW of Manhattan, Montana",0,earthquake, Montana
