"date","close","volume","open","high","low"
"2018/11/09","144.9600","17305480.0000","146.7500","147.7600","144.0700"
"2018/11/08","147.8700","24061590.0000","150.4900","150.9400","146.7400"
"2018/11/07","151.5300","21740210.0000","151.5700","153.0100","149.8300"
"2018/11/06","149.9400","16302120.0000","149.3100","150.9700","148.0000"
"2018/11/05","148.6800","15894150.0000","150.1000","150.1900","147.4400"
"2018/11/02","150.3500","24479290.0000","151.8000","154.1300","148.9600"
"2018/11/01","151.7500","25435380.0000","151.5200","152.7500","149.3500"
"2018/10/31","151.7900","59983970.0000","155.0000","156.4000","148.9600"
"2018/10/30","146.2200","45351650.0000","139.9350","146.6400","139.7419"
"2018/10/29","142.0900","31270990.0000","148.5000","148.8300","139.0300"
"2018/10/26","145.3700","31235150.0000","145.8200","149.0000","143.8000"
"2018/10/25","150.9500","22000170.0000","147.7300","152.2100","147.0000"
"2018/10/24","146.0400","27574300.0000","154.2800","154.6500","145.6000"
"2018/10/23","154.3900","19066360.0000","151.2200","154.7700","150.8500"
"2018/10/22","154.7800","15381630.0000","154.7600","157.3400","154.4600"
"2018/10/19","154.0500","19636460.0000","155.8600","157.3500","153.5500"
"2018/10/18","154.9200","21123820.0000","158.5100","158.6600","153.2800"
"2018/10/17","159.4200","17307030.0000","159.5600","160.4900","157.9500"
"2018/10/16","158.7800","18711620.0000","155.4000","159.4600","155.0100"
"2018/10/15","153.5200","15194060.0000","153.3200","155.5700","152.5500"
"2018/10/12","153.7400","25209770.0000","156.7300","156.8900","151.2998"
"2018/10/11","153.3500","35225150.0000","150.1300","154.8100","149.1600"
"2018/10/10","151.3800","30143210.0000","156.8200","157.6900","151.3100"
"2018/10/09","157.9000","18494270.0000","157.6900","160.5900","157.4200"
"2018/10/08","157.2500","23825100.0000","155.5400","158.3400","154.3900"
"2018/10/05","157.3300","25727470.0000","159.2100","160.9000","156.2000"
"2018/10/04","158.8500","25707300.0000","161.4600","161.4600","157.3500"
"2018/10/03","162.4300","23086120.0000","160.0000","163.6600","159.5300"
"2018/10/02","159.3300","35303190.0000","161.5800","162.2800","158.6700"
"2018/10/01","162.4400","26260420.0000","163.0300","165.8800","161.2600"
"2018/09/28","164.4600","33786480.0000","168.3300","168.7900","162.5600"
"2018/09/27","168.8400","27192570.0000","167.5500","171.7700","167.2100"
"2018/09/26","166.9500","24271500.0000","164.3000","169.3000","164.2100"
"2018/09/25","164.9100","27430470.0000","161.9900","165.5900","161.1500"
"2018/09/24","165.4100","18907320.0000","161.0300","165.7000","160.8800"
"2018/09/21","162.9300","45847680.0000","166.6400","167.2500","162.8100"
"2018/09/20","166.0200","18812060.0000","164.5000","166.4500","164.4722"
"2018/09/19","163.0600","19568020.0000","160.0800","163.4400","159.4800"
"2018/09/18","160.3000","22331470.0000","159.3900","161.7639","158.8656"
"2018/09/17","160.5800","20951950.0000","161.9200","162.0600","159.7700"
"2018/09/14","162.3200","21682850.0000","161.7150","162.8400","160.3400"
"2018/09/13","161.3600","25376900.0000","162.0000","163.3200","160.8600"
"2018/09/12","162.0000","24033850.0000","163.2500","164.4900","161.8000"
"2018/09/11","165.9400","20285090.0000","163.9400","167.1900","163.7200"
"2018/09/10","164.1800","19896190.0000","163.5100","165.0100","162.1600"
"2018/09/07","163.0400","24151910.0000","160.3100","164.6269","160.1600"
"2018/09/06","162.5300","41418330.0000","166.9800","166.9800","160.0000"
"2018/09/05","167.1800","31191210.0000","169.4900","171.1250","166.6700"
"2018/09/04","171.1600","29460630.0000","173.5000","173.8900","168.8000"
"2018/08/31","175.7300","18025110.0000","177.1500","177.6200","174.9815"
"2018/08/30","177.6400","24105390.0000","175.9000","179.7901","175.7000"
"2018/08/29","175.9000","18357780.0000","176.2950","176.7900","174.7500"
"2018/08/28","176.2600","15720690.0000","178.1000","178.2399","175.8300"
"2018/08/27","177.4600","17853600.0000","175.9900","178.6700","175.7900"
"2018/08/24","174.6450","14519920.0000","173.7000","174.8200","172.9200"
"2018/08/23","172.9000","17945260.0000","173.0900","175.5500","172.8300"
"2018/08/22","173.6400","16760320.0000","172.2100","174.2400","172.1300"
"2018/08/21","172.6200","19475690.0000","172.8100","174.1700","171.3900"
"2018/08/20","172.5000","21449120.0000","174.0400","174.5700","170.9100"
"2018/08/17","173.8000","24819470.0000","174.5000","176.2200","172.0400"
"2018/08/16","174.7000","31161240.0000","180.4200","180.5000","174.0100"
"2018/08/15","179.5300","32658240.0000","179.3400","180.8700","174.7800"
"2018/08/14","181.1100","18961200.0000","180.7100","181.9900","178.6200"
"2018/08/13","180.0500","17349150.0000","180.1000","182.6100","178.9000"
"2018/08/10","180.2600","21467940.0000","182.0400","182.1000","179.4200"
"2018/08/09","183.0900","19652850.0000","185.8490","186.5700","182.4800"
"2018/08/08","185.1800","22178460.0000","184.7500","186.8500","183.7600"
"2018/08/07","183.8100","33127670.0000","186.5000","188.3000","183.7200"
"2018/08/06","185.6900","49600350.0000","178.9700","185.7900","178.3800"
"2018/08/03","177.7800","24730780.0000","177.6900","178.8500","176.1500"
"2018/08/02","176.3700","32235750.0000","170.6800","176.7900","170.2700"
"2018/08/01","171.6500","33979910.0000","173.9300","175.0800","170.9000"
"2018/07/31","172.5800","40213830.0000","170.6700","174.2400","170.0000"
"2018/07/30","171.0600","65129810.0000","175.3000","175.3000","166.5600"
"2018/07/27","174.8900","59700640.0000","179.8700","179.9300","173.0000"
"2018/07/26","176.2600","169059900.0000","174.8900","180.1300","173.7500"
"2018/07/25","217.5000","45279590.0000","215.7150","218.6200","214.2700"
"2018/07/24","214.6700","28318380.0000","215.1100","216.2000","212.6000"
"2018/07/23","210.9100","15933870.0000","210.5800","211.6200","208.8000"
"2018/07/20","209.9400","16152700.0000","208.8500","211.5000","208.5000"
"2018/07/19","208.0900","11186170.0000","208.7700","209.9900","207.7600"
"2018/07/18","209.3600","15322340.0000","209.8200","210.9900","208.4400"
"2018/07/17","209.9900","15239470.0000","204.9000","210.4600","204.8400"
"2018/07/16","207.2300","10866950.0000","207.5000","208.7200","206.8400"
"2018/07/13","207.3200","11421420.0000","207.8100","208.4300","206.4500"
"2018/07/12","206.9200","15439760.0000","203.4300","207.0800","203.1900"
"2018/07/11","202.5400","12729340.0000","202.2200","204.5000","201.7500"
"2018/07/10","203.5400","12868530.0000","204.5000","204.9100","202.2600"
"2018/07/09","204.7400","18133700.0000","204.9300","205.8000","202.1201"
"2018/07/06","203.2300","19687900.0000","198.4500","203.6400","197.7000"
"2018/07/05","198.4500","19582000.0000","194.7400","198.6500","194.0300"
"2018/07/03","192.7300","13489510.0000","194.5500","195.4000","192.5200"
"2018/07/02","197.3600","13735130.0000","193.3700","197.4500","192.2200"
"2018/06/29","194.3200","15516540.0000","197.3200","197.5997","193.9550"
"2018/06/28","196.2300","18153600.0000","195.1800","197.3400","193.2600"
"2018/06/27","195.8400","18697530.0000","199.1800","200.7500","195.8000"
"2018/06/26","199.0000","17869610.0000","197.6000","199.1000","196.2300"
"2018/06/25","196.3500","25170720.0000","200.0000","200.0000","193.1100"
"2018/06/22","201.7400","17050440.0000","201.1600","202.2400","199.3100"
